alpha,Edge_0_initial,Edge_0_final,Edge_0_usage,Edge_1_initial,Edge_1_final,Edge_1_usage,Edge_2_initial,Edge_2_final,Edge_2_usage,Edge_3_initial,Edge_3_final,Edge_3_usage,Edge_4_initial,Edge_4_final,Edge_4_usage,Edge_5_initial,Edge_5_final,Edge_5_usage,Edge_6_initial,Edge_6_final,Edge_6_usage,Edge_7_initial,Edge_7_final,Edge_7_usage,Edge_8_initial,Edge_8_final,Edge_8_usage,Edge_9_initial,Edge_9_final,Edge_9_usage,Edge_10_initial,Edge_10_final,Edge_10_usage,Edge_11_initial,Edge_11_final,Edge_11_usage,Edge_12_initial,Edge_12_final,Edge_12_usage,Edge_13_initial,Edge_13_final,Edge_13_usage,Edge_14_initial,Edge_14_final,Edge_14_usage
0.5,56345,23873,58,56345,42323,25,56345,7857,86,56345,42625,24,56345,14077,75,56345,37277,34,56345,22392,60,56345,27549,51,56345,26482,53,56345,46736,17,56345,2290,96,56345,21621,62,56345,524,99,56345,19663,65,56345,4122,93
0.5,64986,23450,64,64986,41520,36,64986,8383,87,64986,37724,42,64986,20281,69,64986,43728,33,64986,21606,67,64986,50063,23,64986,30415,53,64986,43810,33,64986,2670,96,64986,19237,70,64986,1869,97,64986,34764,47,64986,977,98
0.5,79147,21010,73,79147,50833,36,79147,25038,68,79147,46985,41,79147,32934,58,79147,48003,39,79147,26937,66,79147,55176,30,79147,59934,24,79147,51805,35,79147,2232,97,79147,24556,69,79147,1501,98,79147,39267,50,79147,565,99
0.5,57671,16003,72,57671,34985,39,57671,16627,71,57671,34780,40,57671,25781,55,57671,17516,70,57671,4939,91,57671,46512,19,57671,31926,45,57671,30315,47,57671,1434,98,57671,4640,92,57671,1918,97,57671,26624,54,57671,1579,97
0.5,79147,35695,55,79147,47275,40,79147,36568,54,79147,39120,51,79147,37701,52,79147,57872,27,79147,13655,83,79147,38369,52,79147,30643,61,79147,53546,32,79147,1402,98,79147,24142,69,79147,2646,97,79147,21075,73,79147,878,99
0.5,79147,49745,37,79147,38404,51,79147,31984,60,79147,48025,39,79147,52412,34,79147,56958,28,79147,25421,68,79147,36822,53,79147,30146,62,79147,41405,48,79147,406,99,79147,19743,75,79147,2729,97,79147,17602,78,79147,1154,99
0.5,79147,42027,47,79147,53825,32,79147,23111,71,79147,51104,35,79147,29406,63,79147,53188,33,79147,51244,35,79147,56027,29,79147,61134,23,79147,62644,21,79147,1387,98,79147,31179,61,79147,3122,96,79147,42802,46,79147,2630,97
0.5,79147,31765,60,79147,46965,41,79147,30511,61,79147,66880,15,79147,30030,62,79147,41698,47,79147,6679,92,79147,56963,28,79147,35194,56,79147,69544,12,79147,1739,98,79147,21728,73,79147,910,99,79147,52611,34,79147,3106,96
0.5,79147,25958,67,79147,43418,45,79147,24941,68,79147,58405,26,79147,50088,37,79147,47460,40,79147,22702,71,79147,55319,30,79147,43548,45,79147,36990,53,79147,2618,97,79147,11004,86,79147,3365,96,79147,42491,46,79147,8699,89
0.5,79147,49619,37,79147,61310,23,79147,29738,62,79147,43246,45,79147,28482,64,79147,64777,18,79147,33699,57,79147,55704,30,79147,31004,61,79147,59844,24,79147,1325,98,79147,37544,53,79147,1804,98,79147,34460,56,79147,4495,94
