alpha,Edge_0_initial,Edge_0_final,Edge_0_usage,Edge_1_initial,Edge_1_final,Edge_1_usage,Edge_2_initial,Edge_2_final,Edge_2_usage,Edge_3_initial,Edge_3_final,Edge_3_usage,Edge_4_initial,Edge_4_final,Edge_4_usage,Edge_5_initial,Edge_5_final,Edge_5_usage,Edge_6_initial,Edge_6_final,Edge_6_usage,Edge_7_initial,Edge_7_final,Edge_7_usage,Edge_8_initial,Edge_8_final,Edge_8_usage,Edge_9_initial,Edge_9_final,Edge_9_usage,Edge_10_initial,Edge_10_final,Edge_10_usage,Edge_11_initial,Edge_11_final,Edge_11_usage,Edge_12_initial,Edge_12_final,Edge_12_usage,Edge_13_initial,Edge_13_final,Edge_13_usage,Edge_14_initial,Edge_14_final,Edge_14_usage
0.5,79147,56770,28,79147,51938,34,79147,42358,46,79147,59230,25,79147,47775,40,79147,27874,65,79147,28517,64,79147,64234,19,79147,31471,60,79147,31677,60,79147,234,100,79147,23039,71,79147,2036,97,79147,48304,39,79147,110,100
0.5,79147,34952,56,79147,61417,22,79147,23593,70,79147,54641,31,79147,40864,48,79147,44438,44,79147,15828,80,79147,46265,42,79147,28691,64,79147,63650,20,79147,1500,98,79147,28701,64,79147,2529,97,79147,32369,59,79147,1365,98
0.5,79147,25620,68,79147,40130,49,79147,11042,86,79147,58145,27,79147,30143,62,79147,49731,37,79147,56506,29,79147,55601,30,79147,25137,68,79147,38519,51,79147,982,99,79147,733,99,79147,1518,98,79147,42514,46,79147,421,99
0.5,79147,34868,56,79147,66125,16,79147,40575,49,79147,55592,30,79147,43139,45,79147,48338,39,79147,12267,85,79147,65103,18,79147,17366,78,79147,49400,38,79147,2416,97,79147,11403,86,79147,475,99,79147,43523,45,79147,6485,92
0.5,79147,39386,50,79147,60724,23,79147,23385,70,79147,50132,37,79147,21869,72,79147,61515,22,79147,29030,63,79147,69840,12,79147,37502,53,79147,61208,23,79147,1176,99,79147,29775,62,79147,1184,99,79147,40825,48,79147,1053,99
0.5,79147,30037,62,79147,49332,38,79147,9615,88,79147,61696,22,79147,41636,47,79147,46839,41,79147,28912,63,79147,59151,25,79147,3093,96,79147,50231,37,79147,1939,98,79147,11912,85,79147,744,99,79147,49674,37,79147,129,100
0.5,79147,23077,71,79147,60126,24,79147,24811,69,79147,57867,27,79147,59173,25,79147,47386,40,79147,22904,71,79147,51522,35,79147,63808,19,79147,68037,14,79147,2730,97,79147,31501,60,79147,1855,98,79147,42316,47,79147,1353,98
0.5,79147,19013,76,79147,50760,36,79147,27452,65,79147,53572,32,79147,36360,54,79147,32176,59,79147,24629,69,79147,33214,58,79147,59425,25,79147,70741,11,79147,224,100,79147,24283,69,79147,1377,98,79147,22921,71,79147,1920,98
0.5,75461,41975,44,75461,59708,21,75461,40216,47,75461,26034,65,75461,42811,43,75461,65799,13,75461,14956,80,75461,65985,13,75461,50161,34,75461,57552,24,75461,776,99,75461,40051,47,75461,2299,97,75461,24533,67,75461,1084,99
0.5,79147,24993,68,79147,61896,22,79147,10748,86,79147,60028,24,79147,52646,33,79147,51720,35,79147,64146,19,79147,36392,54,79147,45589,42,79147,56711,28,79147,74,100,79147,40024,49,79147,2651,97,79147,29552,63,79147,5248,93
