,job_id,user,num_gpu,num_cpu,num_pod,duration,job_name,submit_time,group,gpu_type,wait_time,user_dur,group_dur,group_gpu_dur,read_count,write_count,num_inst,size,on_time,wasted,jct,resource,node
18090,18090,2,50,600,1.0,286,1ccc18d7d13073b642b3a016,0,deda7174c83aa92e668de6202a034e88,T4,3,386.0,286.0,286.0,3003.4444444444453,945.6428571428572,1,185900,0,0,-1,"[50, 600]",
18098,18098,2,50,600,1.0,326,1ccc18d7d13073b642b3a016,0,617ea1b3fd9b931f46ac76762afa9c92,T4,3,386.0,325.5,325.5,3003.4444444444453,945.6428571428572,1,211900,0,0,-1,"[50, 600]",
18111,18111,2,50,600,1.0,376,1ccc18d7d13073b642b3a016,0,95de800a0ed1caf42d9442946a2dac64,T4,3,386.0,376.0,376.0,3003.4444444444453,945.6428571428572,1,244400,0,0,-1,"[50, 600]",
18112,18112,2,50,600,1.0,175,1ccc18d7d13073b642b3a016,0,3682b8322957e39441d964abc5a7ea09,T4,4,386.0,175.0,175.0,3003.4444444444453,945.6428571428572,1,113750,0,0,-1,"[50, 600]",
18136,18136,2,50,600,1.0,215,1ccc18d7d13073b642b3a016,0,92ac35dd8b2ec3511cb70ee5eb61a9d4,T4,3,386.0,205.0,205.0,3003.4444444444453,945.6428571428572,1,139750,0,0,-1,"[50, 600]",
18241,18241,25,50,600,1.0,16,21858ac282f1092bb15f8831,0,6bfc17772c05997aa2a8a7df3c019692,T4,3,287.0,5761.0,5761.0,2467.0040935672514,3956.5,1,10400,0,0,-1,"[50, 600]",
18668,18668,6,50,600,1.0,19941,27fe3bcbb296170406b340f5,0,40b584462c3822c5cf1b798ba9b5b5c1,T4,3,598.0,20077.5,20077.5,7059.099462365592,6241.3239759887,1,12961650,0,0,-1,"[50, 600]",
18752,18752,1,50,600,1.0,33165,8ccb9c9fe88b53537e096dd9,0,ba769ccd074b2ee6322ad808e9eb6558,MISC,3,7180.0,30285.0,30339.0,1975.2819939932187,1470.2898442789435,1,21557250,0,0,-1,"[50, 600]",
18817,18817,5,50,600,1.0,2304,d894fd1af131ed7a296716b5,0,3f77aba0fc282456c8e45c6792c93f66,MISC,11,345.0,4363.0,4339.0,7914.727272727273,995.821870701513,1,1497600,0,0,-1,"[50, 600]",
18834,18834,6,50,600,1.0,588,27fe3bcbb296170406b340f5,0,b318ecce2bd74827fdbe50ebf2e5d8aa,T4,3,598.0,1909.0,1643.0,7059.099462365592,6241.3239759887,1,382200,0,0,-1,"[50, 600]",
18977,18977,5,50,600,1.0,1045,d894fd1af131ed7a296716b5,0,0adf9c0da0a16481b4c38b4a3b33418f,MISC,13,345.0,2071.0,2052.0,7914.727272727273,995.821870701513,1,679250,0,0,-1,"[50, 600]",
19196,19196,5,50,600,1.0,2336,d894fd1af131ed7a296716b5,0,c632856546178281f00ee6b6e2b38f1c,MISC,13,345.0,3286.0,3309.0,7914.727272727273,995.821870701513,1,1518400,0,0,-1,"[50, 600]",
19201,19201,5,50,600,1.0,3858,d894fd1af131ed7a296716b5,0,0326aca3ba539b0349b41fe69fdafe66,MISC,9,345.0,6582.5,6756.0,7914.727272727273,995.821870701513,1,2507700,0,0,-1,"[50, 600]",
19204,19204,5,50,600,1.0,1703,d894fd1af131ed7a296716b5,0,3f77aba0fc282456c8e45c6792c93f66,MISC,11,345.0,4363.0,4339.0,7914.727272727273,995.821870701513,1,1106950,0,0,-1,"[50, 600]",
19210,19210,5,50,600,1.0,132,d894fd1af131ed7a296716b5,0,1b5e401c74916ff131630fdff0b200bf,MISC,9,345.0,221.5,211.0,7914.727272727273,995.821870701513,1,85800,0,0,-1,"[50, 600]",
19213,19213,5,50,600,1.0,2192,d894fd1af131ed7a296716b5,0,1acba10811f505042b2fe8d8c32fedbe,MISC,9,345.0,3006.5,3233.0,7914.727272727273,995.821870701513,1,1424800,0,0,-1,"[50, 600]",
19215,19215,5,50,600,1.0,1606,d894fd1af131ed7a296716b5,0,2b8c6f460ec857d1a1f6799f75a7f48e,MISC,7,345.0,4261.0,4326.0,7914.727272727273,995.821870701513,1,1043900,0,0,-1,"[50, 600]",
19352,19352,6,50,600,1.0,599,27fe3bcbb296170406b340f5,0,3b0d13cab36c9462c43824fb37ff5f3e,T4,4,598.0,1924.0,1753.0,7059.099462365592,6241.3239759887,1,389350,0,0,-1,"[50, 600]",
19695,19695,2,500,6000,10.0,321,1ccc18d7d13073b642b3a016,0,765e22453d27266bd57be9da347f40a2,T4,2,386.0,369.0,369.0,3003.4444444444453,945.6428571428572,1,2086500,0,0,-1,"[500, 6000]",
19698,19698,2,500,6000,10.0,306,1ccc18d7d13073b642b3a016,0,c14e0dede193272e45ca519511a04571,T4,3,386.0,318.0,318.0,3003.4444444444453,945.6428571428572,1,1989000,0,0,-1,"[500, 6000]",
19707,19707,2,500,6000,10.0,204,1ccc18d7d13073b642b3a016,0,a2e12745b9e088c1b7eb510eaa194946,T4,3,386.0,208.0,208.0,3003.4444444444453,945.6428571428572,1,1326000,0,0,-1,"[500, 6000]",
19750,19750,2,500,6000,10.0,316,1ccc18d7d13073b642b3a016,0,5ef4cd9e29e513488cfa60d186c7a49b,T4,134,386.0,209.5,209.5,3003.4444444444453,945.6428571428572,1,2054000,0,0,-1,"[500, 6000]",
19752,19752,2,500,6000,10.0,1569,1ccc18d7d13073b642b3a016,0,253d312d1eecc57432509c78f8e7b3f3,T4,110,386.0,1417.0,1417.0,3003.4444444444453,945.6428571428572,1,10198500,0,0,-1,"[500, 6000]",
19763,19763,2,500,6000,10.0,4398,1ccc18d7d13073b642b3a016,0,176663a487ed2a2555ec5081ba26396d,T4,128,386.0,4066.0,4071.0,3003.4444444444453,945.6428571428572,1,28587000,0,0,-1,"[500, 6000]",
19788,19788,2,500,6000,10.0,6376,1ccc18d7d13073b642b3a016,0,d5fbeff1c9a03dbaa7988d3e17fcc4cf,T4,109,386.0,5792.5,5792.5,3003.4444444444453,945.6428571428572,1,41444000,0,0,-1,"[500, 6000]",
19793,19793,5,50,600,1.0,1725,d894fd1af131ed7a296716b5,0,8ed0db181eb3a242deb33f30457680fb,MISC,10,345.0,2056.0,2357.0,7914.727272727273,995.821870701513,1,1121250,0,0,-1,"[50, 600]",
19807,19807,5,50,600,1.0,2221,d894fd1af131ed7a296716b5,0,90f7f8356e105e044fb55230d32ce11e,MISC,10,345.0,3598.5,3347.5,7914.727272727273,995.821870701513,1,1443650,0,0,-1,"[50, 600]",
19814,19814,5,50,600,1.0,2513,d894fd1af131ed7a296716b5,0,61c29e42702b564efec294fb23f22890,MISC,8,345.0,3368.0,3160.0,7914.727272727273,995.821870701513,1,1633450,0,0,-1,"[50, 600]",
19818,19818,5,50,600,1.0,2297,d894fd1af131ed7a296716b5,0,962098c36aa73f3a4b51a04d59b9c31d,MISC,6,345.0,3756.0,3756.0,7914.727272727273,995.821870701513,1,1493050,0,0,-1,"[50, 600]",
19819,19819,5,50,600,1.0,2212,d894fd1af131ed7a296716b5,0,396f988f211ea55fc582a17b1131404a,MISC,6,345.0,4495.5,4176.0,7914.727272727273,995.821870701513,1,1437800,0,0,-1,"[50, 600]",
19826,19826,5,50,600,1.0,2665,d894fd1af131ed7a296716b5,0,e776503418aa2c3f987c3eac3a0fc88d,MISC,9,345.0,3266.0,3193.0,7914.727272727273,995.821870701513,1,1732250,0,0,-1,"[50, 600]",
19866,19866,6,50,600,1.0,578,27fe3bcbb296170406b340f5,0,438b66cad6f67baf1ac60926f7e72fb7,T4,3,598.0,1884.0,1648.0,7059.099462365592,6241.3239759887,1,375700,0,0,-1,"[50, 600]",
19894,19894,2,500,6000,10.0,392,1ccc18d7d13073b642b3a016,0,c14f104878d10fe997a1ca8217417140,T4,119,386.0,271.0,271.0,3003.4444444444453,945.6428571428572,1,2548000,0,0,-1,"[500, 6000]",
20004,20004,10,2000,20000,200.0,126,e8efa65aa22dff1e98ff15d7,0,e08a5027320e85c2def50620949289b3,MISC,8,816.0,143.0,130.5,5275.162420382166,2387.6296296296296,1,2772000,0,0,-1,"[2000, 20000]",
20012,20012,2,1000,12000,20.0,5078,1ccc18d7d13073b642b3a016,0,0c30ba3a3e6bb0d30e640c16d62bbccd,T4,599,386.0,4210.0,4188.5,3003.4444444444453,945.6428571428572,1,66014000,0,0,-1,"[1000, 12000]",
20056,20056,1,50,600,1.0,2772,8ccb9c9fe88b53537e096dd9,0,6f99e6d070eb7e8f4c444aff9d53a210,MISC,10,7180.0,2805.0,2788.5,1975.2819939932187,1470.2898442789435,1,1801800,0,0,-1,"[50, 600]",
20260,20260,5,50,600,1.0,1799,d894fd1af131ed7a296716b5,0,f9401c2524e5e2ab858f259971bad109,MISC,8,345.0,3857.0,3371.5,7914.727272727273,995.821870701513,1,1169350,0,0,-1,"[50, 600]",
20345,20345,11,500,5000,10.0,2867,b53f9ebd1eeeea726d1dac78,0,fe278e971d244d40de7c9f38a7ca5cd4,MISC,6,2432.0,2565.0,2492.0,497.76153091265945,346.7373949579832,1,15768500,0,0,-1,"[500, 5000]",
20590,20590,1,800,9600,16.0,13062,8ccb9c9fe88b53537e096dd9,0,d56493b53ec3b83e09e0f74668b9ec39,MISC,44,7180.0,11528.0,12029.0,1975.2819939932187,1470.2898442789435,1,135844800,0,0,-1,"[800, 9600]",
20597,20597,2,1000,12000,20.0,6095,1ccc18d7d13073b642b3a016,0,05a2b94d0f7e2fd126089f029307d3c2,T4,2179,386.0,4310.0,4310.0,3003.4444444444453,945.6428571428572,1,79235000,0,0,-1,"[1000, 12000]",
20622,20622,21,800,9600,16.0,14414,7cc6edae55387addd38604b5,0,37208ef12ed179f1eeb3c54685f84181,T4,288,956.0,2863.5,2863.5,542.8506097560977,374.7634069400631,1,149905600,0,0,-1,"[800, 9600]",
20624,20624,26,50,600,1.0,98072,0e113fe8f6b4153745d87b60,0,333e9a74221eeb9c88bbe4f65c6a8737,MISC,13,1441.0,60312.0,60001.5,2075.487452732898,1731.6819484240689,1,63746800,0,0,-1,"[50, 600]",
20643,20643,2,1000,12000,20.0,5615,1ccc18d7d13073b642b3a016,0,997abdf21594327c502369c7eb703292,T4,1651,386.0,3927.0,3927.0,3003.4444444444453,945.6428571428572,1,72995000,0,0,-1,"[1000, 12000]",
20811,20811,26,400,4800,8.0,49335,0e113fe8f6b4153745d87b60,0,75c2dc54b5932190e2f72eee824e50d5,MISC,12,1441.0,51837.5,53299.0,2075.487452732898,1731.6819484240689,1,256542000,0,0,-1,"[400, 4800]",
21119,21119,16,100,1200,2.0,2446,28dbedeb830a7a6ebc9dcdb7,0,894732adbdc7df12b3fd1f7f426c0748,T4,3,294.0,1745.0,1745.0,4576.53125,977.1555555555556,1,3179800,0,0,-1,"[100, 1200]",
21146,21146,16,200,2400,4.0,176,28dbedeb830a7a6ebc9dcdb7,0,d7607a872d1a9a0d1c2981d1fae14a09,T4,2,294.0,157.0,157.0,4576.53125,977.1555555555556,1,457600,0,0,-1,"[200, 2400]",
21215,21215,7,50,600,1.0,203,4338499d3c24cc35be17b44c,0,79798f4e0f632aa5986c268cfc2c2e3f,MISC,8,436.0,227.0,227.0,3987.3481058112393,2143.128573005187,1,131950,0,0,-1,"[50, 600]",
21244,21244,22,250,3000,5.0,27335,0381d6db958250b056960f1d,0,7b569a94742292bdf13e02c388ee973e,T4,1435,3123.5,22626.0,22594.0,7468.122727272727,1580.344647545628,1,88838750,0,0,-1,"[250, 3000]",
21552,21552,20,50,600,1.0,8427,07a7440f33d2bfb59804064b,0,066ece3de4069f269213f905554e3a7c,T4,3,1205.5,6429.0,6570.0,2916.910652920962,2250.415735359857,1,5477550,0,0,-1,"[50, 600]",
21665,21665,5,50,600,1.0,4700,d894fd1af131ed7a296716b5,0,4448b4e087c9eff9333080748295d209,MISC,5,345.0,4162.0,4221.0,7914.727272727273,995.821870701513,1,3055000,0,0,-1,"[50, 600]",
