count,num_cpu,num_gpu,bandwidth_avg,bandwidth_min,bandwidth_max,bandwidth_median,duration_avg,duration_min,duration_max,duration_median
90,8000.0,800.0,3016.6580137779206,1396.6417333955935,9485.95800933126,3003.4444444444453,4792.7444444444445,120,22811,3949.5
65,600.0,300.0,6447.439129334987,3809.090656654808,10280.625,4024.6078431372553,1272.5692307692307,15,25235,295.0
297,600.0,20.0,6770.7048924074525,2155.8349514563106,7914.727272727273,7914.727272727273,8478.892255892257,22,25874,7281.0
312,6400.0,64.0,329.695405982906,319.8,3407.166666666666,319.8,51.2724358974359,18,6435,30.0
33,4800.0,400.0,2344.212257816563,542.8506097560977,10850.307123490264,2075.487452732898,20458.454545454544,60,125388,1390.0
402,12000.0,2000.0,9812.62108445624,287.5336322869955,33295.731138545954,6364.689130434783,9683.783582089553,31,225833,2171.0
351,15000.0,625.0,3156.991781194798,2677.384615384615,17494.733333333334,3003.4444444444453,6725.786324786325,1403,210529,4322.0
190,3600.0,200.0,4772.59864231712,2400.6585365853657,6748.384615384615,5767.13816022687,2293.021052631579,24,12134,762.5
13,1000.0,300.0,3891.98188222498,3809.090656654808,4024.6078431372553,3809.090656654808,797.7692307692307,87,6843,126.0
26,2000.0,250.0,2724.4435767195764,2724.4435767195764,2724.4435767195764,2724.4435767195764,600.2692307692307,161,1449,530.0
447,18000.0,750.0,6416.885965125881,1975.2819939932187,35185.295131037594,4785.891705069124,5973.62192393736,43,47642,1835.0
168,3000.0,500.0,16935.03493824206,0.0,33295.731138545954,6633.896381578948,5021.398809523809,56,40571,2129.0
69,4800.0,40.0,4576.53125,4576.53125,4576.53125,4576.53125,1841.391304347826,54,26029,190.0
13,45000.0,2500.0,1473.845242691878,1309.6846153846152,2288.9873983739835,1454.032786885246,6950.923076923077,75,79843,922.0
46,36000.0,2000.0,4235.311071542766,2400.6585365853657,10395.307692307691,3455.6923536439663,1692.195652173913,170,20371,1029.5
254,3200.0,100.0,1919.7909235768193,0.0,33295.731138545954,634.8616600790514,17887.110236220473,242,152122,17852.5
21,32400.0,1800.0,3317.480232015203,2400.6585365853657,3455.6923536439663,3455.6923536439663,3128.4285714285716,107,41541,1253.0
475,12000.0,1000.0,3165.9354433708904,472.5508568110007,7468.122727272727,3003.4444444444453,3600.8715789473686,32,37270,1905.0
11,26000.0,2000.0,7586.315670556561,6364.689130434783,10395.307692307691,6633.896381578948,3508.5454545454545,1835,6398,3377.0
192,2400.0,200.0,3359.6603724623833,542.8506097560977,4576.53125,4576.53125,9901.161458333334,35,95589,1057.5
94,100.0,100.0,20524.46718363764,3659.7647058823527,33295.731138545954,33295.731138545954,720.0851063829788,32,2917,691.0
536,4800.0,200.0,4888.598439492932,935.16077170418,12604.270742358078,4576.53125,3957.4888059701493,51,182246,1679.5
184,400.0,100.0,5126.573003628426,0.0,16393.444564517613,5114.694733619106,4375.532608695652,19,127641,229.5
382,6000.0,1000.0,8411.69752572995,2179.0767172167707,33295.731138545954,7423.285714285716,2002.4109947643979,32,73713,202.0
