n_nodes,n_req,n_msg,exec_time,alpha,tot_utility,jaini,count_assigned,count_unassigned,time_instant,tot_gpu_jobs,tot_gpu_nodes,assigned_sum_gpu,tot_used_gpu,unassigned_sum_gpu,tot_cpu_jobs,tot_cpu_nodes,assigned_sum_cpu,tot_used_cpu,unassigned_sum_cpu,tot_bw_jobs,tot_bw_nodes,assigned_sum_bw,tot_used_bw,unassigned_sum_bw,first_failure_after,node_0_jobs,node_0_utility,node_0_initial_gpu,node_0_updated_gpu,node_0_used_gpu,node_0_initial_cpu,node_0_updated_cpu,node_0_used_cpu,node_0_initial_bw,node_0_updated_bw,node_0_used_bw,node_1_jobs,node_1_utility,node_1_initial_gpu,node_1_updated_gpu,node_1_used_gpu,node_1_initial_cpu,node_1_updated_cpu,node_1_used_cpu,node_1_initial_bw,node_1_updated_bw,node_1_used_bw,node_2_jobs,node_2_utility,node_2_initial_gpu,node_2_updated_gpu,node_2_used_gpu,node_2_initial_cpu,node_2_updated_cpu,node_2_used_cpu,node_2_initial_bw,node_2_updated_bw,node_2_used_bw,node_3_jobs,node_3_utility,node_3_initial_gpu,node_3_updated_gpu,node_3_used_gpu,node_3_initial_cpu,node_3_updated_cpu,node_3_used_cpu,node_3_initial_bw,node_3_updated_bw,node_3_used_bw
4,20,902,11.660959720611572,1.0,48.0,1.0,6,0,1,300.0,96566454.33,215.0,215.0,0,7200.0,2306061112.81,4900.0,4900.0,0,114451.42,400000000000,41253.77,103134.44,0,6,6,12.0,34526377.21,34526323.46,53.75,734283956.78,734282731.78,1225.0,100000000000,99999979373.11,20626.89,6,12.0,31563262.58,31563208.83,53.75,544598221.82,544596996.82,1225.0,100000000000,99999979373.11,20626.89,6,12.0,10491129.9,10491076.15,53.75,456199430.54,456198205.54,1225.0,100000000000,99999958746.23,41253.77,6,12.0,19985684.64,19985630.89,53.75,570979503.67,570978278.67,1225.0,100000000000,99999979373.11,20626.89
4,20,2952,12.158135175704956,1.0,48.0,1.0,6,0,2,300.0,96566454.33,435.0,650.0,0,7200.0,2306061112.81,8200.0,13100.0,0,114451.42,400000000000,30005.86,163146.16,0,6,6,12.0,34526377.21,34526214.71,162.5,734283956.78,734280681.78,3275.0,100000000000,99999964370.18,35629.82,6,12.0,31563262.58,31563100.08,162.5,544598221.82,544594946.82,3275.0,100000000000,99999964370.18,35629.82,6,12.0,10491129.9,10490967.4,162.5,456199430.54,456196155.54,3275.0,100000000000,99999943743.3,56256.7,6,12.0,19985684.64,19985522.14,162.5,570979503.67,570976228.67,3275.0,100000000000,99999964370.18,35629.82
4,20,5772,11.647834062576294,1.0,48.0,1.0,6,0,3,300.0,96566454.33,185.0,655.0,0,7200.0,2306061112.81,2920.0,12320.0,0,114451.42,400000000000,32273.61,243830.18,0,6,6,12.0,34526377.21,34526213.46,163.75,734283956.78,734280876.78,3080.0,100000000000,99999948233.38,51766.62,6,12.0,31563262.58,31563098.83,163.75,544598221.82,544595141.82,3080.0,100000000000,99999948233.38,51766.62,6,12.0,10491129.9,10490966.15,163.75,456199430.54,456196350.54,3080.0,100000000000,99999911469.68,88530.32,6,12.0,19985684.64,19985520.89,163.75,570979503.67,570976423.67,3080.0,100000000000,99999948233.38,51766.62
4,20,8946,11.250757217407227,1.0,16.0,1.0,2,0,4,300.0,96566454.33,350.0,645.0,0,7200.0,2306061112.81,7800.0,12920.0,0,114451.42,400000000000,10918.17,274129.06,0,2,2,4.0,34526377.21,34526215.96,161.25,734283956.78,734280726.78,3230.0,100000000000,99999942774.29,57225.71,2,4.0,31563262.58,31563101.33,161.25,544598221.82,544594991.82,3230.0,100000000000,99999942774.29,57225.71,2,4.0,10491129.9,10490968.65,161.25,456199430.54,456196200.54,3230.0,100000000000,99999897548.07,102451.93,2,4.0,19985684.64,19985523.39,161.25,570979503.67,570976273.67,3230.0,100000000000,99999942774.29,57225.71
4,20,12148,6.011516571044922,1.0,0,1,0,0,5,300.0,96566454.33,0,425.0,0,7200.0,2306061112.81,0,9000.0,0,114451.42,400000000000,0,274129.06,0,0,0,0,34526377.21,34526270.96,106.25,734283956.78,734281706.78,2250.0,100000000000,99999942774.29,57225.71,0,0,31563262.58,31563156.33,106.25,544598221.82,544595971.82,2250.0,100000000000,99999942774.29,57225.71,0,0,10491129.9,10491023.65,106.25,456199430.54,456197180.54,2250.0,100000000000,99999897548.07,102451.93,0,0,19985684.64,19985578.39,106.25,570979503.67,570977253.67,2250.0,100000000000,99999942774.29,57225.71
4,20,15362,17.037396669387817,1.0,0,1,0,0,6,300.0,96566454.33,0,300.0,0,7200.0,2306061112.81,0,7200.0,0,114451.42,400000000000,0,274129.06,0,0,0,0,34526377.21,34526302.21,75.0,734283956.78,734282156.78,1800.0,100000000000,99999942774.29,57225.71,0,0,31563262.58,31563187.58,75.0,544598221.82,544596421.82,1800.0,100000000000,99999942774.29,57225.71,0,0,10491129.9,10491054.9,75.0,456199430.54,456197630.54,1800.0,100000000000,99999897548.07,102451.93,0,0,19985684.64,19985609.64,75.0,570979503.67,570977703.67,1800.0,100000000000,99999942774.29,57225.71
4,20,0,0.00012922286987304688,1.0,0,1,0,0,0,1600.0,255236499.04,0,0,0,7200.0,1486709991.75,0,0,0,89889.63,400000000000,0,0,0,0,0,0,67405446.49,67405446.49,0,298967831.39,298967831.39,0,100000000000,100000000000,0,0,0,44897190.67,44897190.67,0,404557743.04,404557743.04,0,100000000000,100000000000,0,0,0,96796874.42,96796874.42,0,501559106.11,501559106.11,0,100000000000,100000000000,0,0,0,46136987.46,46136987.46,0,281625311.21,281625311.21,0,100000000000,100000000000,0
4,20,850,11.635891914367676,1.0,48.0,1.0,6,0,1,1600.0,255236499.04,1975.0,1975.0,0,7200.0,1486709991.75,3800.0,3800.0,0,89889.63,400000000000,25797.13,51594.24,0,6,6,12.0,67405446.49,67404952.74,493.75,298967831.39,298966881.39,950.0,100000000000,99999987101.44,12898.56,6,12.0,44897190.67,44896696.92,493.75,404557743.04,404556793.04,950.0,100000000000,99999987101.44,12898.56,6,12.0,96796874.42,96796380.67,493.75,501559106.11,501558156.11,950.0,100000000000,99999987101.44,12898.56,6,12.0,46136987.46,46136493.71,493.75,281625311.21,281624361.21,950.0,100000000000,99999987101.44,12898.56
4,20,2630,12.139748811721802,1.0,48.0,1.0,6,0,2,1600.0,255236499.04,755.0,2730.0,0,7200.0,1486709991.75,11400.0,15200.0,0,89889.63,400000000000,33004.32,117602.88,0,6,6,12.0,67405446.49,67404763.99,682.5,298967831.39,298964031.39,3800.0,100000000000,99999970599.28,29400.72,6,12.0,44897190.67,44896508.17,682.5,404557743.04,404553943.04,3800.0,100000000000,99999970599.28,29400.72,6,12.0,96796874.42,96796191.92,682.5,501559106.11,501555306.11,3800.0,100000000000,99999970599.28,29400.72,6,12.0,46136987.46,46136304.96,682.5,281625311.21,281621511.21,3800.0,100000000000,99999970599.28,29400.72
4,20,5450,11.65267825126648,1.0,48.0,1.0,6,0,3,1600.0,255236499.04,469.0,1374.0,0,7200.0,1486709991.75,9400.0,22000.0,0,89889.63,400000000000,24183.92,165970.72,0,6,6,12.0,67405446.49,67405102.99,343.5,298967831.39,298962331.39,5500.0,100000000000,99999958507.32,41492.68,6,12.0,44897190.67,44896847.17,343.5,404557743.04,404552243.04,5500.0,100000000000,99999958507.32,41492.68,6,12.0,96796874.42,96796530.92,343.5,501559106.11,501553606.11,5500.0,100000000000,99999958507.32,41492.68,6,12.0,46136987.46,46136643.96,343.5,281625311.21,281619811.21,5500.0,100000000000,99999958507.32,41492.68
4,20,8580,12.0532808303833,1.0,16.0,1.0,2,0,4,1600.0,255236499.04,125.0,699.0,0,7200.0,1486709991.75,1200.0,11800.0,0,89889.63,400000000000,6904.26,179779.24,0,2,2,4.0,67405446.49,67405271.74,174.75,298967831.39,298964881.39,2950.0,100000000000,99999955055.19,44944.81,2,4.0,44897190.67,44897015.92,174.75,404557743.04,404554793.04,2950.0,100000000000,99999955055.19,44944.81,2,4.0,96796874.42,96796699.67,174.75,501559106.11,501556156.11,2950.0,100000000000,99999955055.19,44944.81,2,4.0,46136987.46,46136812.71,174.75,281625311.21,281622361.21,2950.0,100000000000,99999955055.19,44944.81
