alpha,Edge_0_initial,Edge_0_final,Edge_0_usage,Edge_1_initial,Edge_1_final,Edge_1_usage,Edge_2_initial,Edge_2_final,Edge_2_usage,Edge_3_initial,Edge_3_final,Edge_3_usage,Edge_4_initial,Edge_4_final,Edge_4_usage,Edge_5_initial,Edge_5_final,Edge_5_usage,Edge_6_initial,Edge_6_final,Edge_6_usage,Edge_7_initial,Edge_7_final,Edge_7_usage,Edge_8_initial,Edge_8_final,Edge_8_usage,Edge_9_initial,Edge_9_final,Edge_9_usage,Edge_10_initial,Edge_10_final,Edge_10_usage,Edge_11_initial,Edge_11_final,Edge_11_usage,Edge_12_initial,Edge_12_final,Edge_12_usage,Edge_13_initial,Edge_13_final,Edge_13_usage,Edge_14_initial,Edge_14_final,Edge_14_usage
0.5,79147,2418,97,79147,4759,94,79147,5214,93,79147,7404,91,79147,4380,94,79147,6471,92,79147,5185,93,79147,4175,95,79147,7311,91,79147,5099,94,79147,-98820,225,79147,-106961,235,79147,-55733,170,79147,-50714,164,79147,-180868,329
0.5,79147,3855,95,79147,-128,100,79147,4685,94,79147,5044,94,79147,1525,98,79147,3420,96,79147,-2577,103,79147,3141,96,79147,1825,98,79147,3294,96,79147,-114235,244,79147,-104234,232,79147,-68732,187,79147,-57214,172,79147,-209898,365
0.5,79147,3170,96,79147,4066,95,79147,731,99,79147,4246,95,79147,3735,95,79147,4077,95,79147,3896,95,79147,5169,93,79147,-1100,101,79147,5804,93,79147,-97043,223,79147,-104746,232,79147,-51000,164,79147,-59240,175,79147,-172216,318
0.5,79147,5372,93,79147,3802,95,79147,2217,97,79147,3308,96,79147,3881,95,79147,1701,98,79147,2895,96,79147,4905,94,79147,3961,95,79147,3866,95,79147,-94401,219,79147,-113232,243,79147,-62256,179,79147,-54166,168,79147,-159784,302
0.5,79147,3444,96,79147,4079,95,79147,1124,99,79147,1950,98,79147,5883,93,79147,4567,94,79147,1728,98,79147,5703,93,79147,5878,93,79147,7704,90,79147,-134480,270,79147,-103279,230,79147,-47848,160,79147,-56810,172,79147,-196292,348
0.5,79147,4533,94,79147,2137,97,79147,5221,93,79147,4485,94,79147,4454,94,79147,2215,97,79147,6236,92,79147,5720,93,79147,7025,91,79147,3686,95,79147,-118079,249,79147,-115547,246,79147,-53820,168,79147,-52016,166,79147,-162273,305
0.5,79147,4546,94,79147,6119,92,79147,8775,89,79147,4634,94,79147,5165,93,79147,5747,93,79147,1815,98,79147,5032,94,79147,6002,92,79147,2419,97,79147,-100348,227,79147,-92153,216,79147,-66370,184,79147,-49424,162,79147,-163368,306
0.5,62612,3320,95,62612,658,99,62612,3523,94,62612,2655,96,62612,2543,96,62612,1696,97,62612,2220,96,62612,2181,97,62612,184,100,62612,4368,93,62612,-110380,276,62612,-93244,249,62612,-56549,190,62612,-49247,179,62612,-177895,384
0.5,79147,3530,96,79147,2976,96,79147,3280,96,79147,4728,94,79147,3219,96,79147,2758,97,79147,5807,93,79147,6099,92,79147,6032,92,79147,3830,95,79147,-107748,236,79147,-107193,235,79147,-61665,178,79147,-60405,176,79147,-208201,363
0.5,62267,5778,91,62267,1740,97,62267,6624,89,62267,5033,92,62267,3503,94,62267,5081,92,62267,3850,94,62267,5890,91,62267,6030,90,62267,4056,93,62267,-58324,194,62267,-69537,212,62267,-47806,177,62267,-39103,163,62267,-136138,319
0.5,66487,3349,95,66487,5124,92,66487,3577,95,66487,3699,94,66487,738,99,66487,3569,95,66487,2465,96,66487,3618,95,66487,2974,96,66487,3877,94,66487,-96419,245,66487,-97798,247,66487,-47954,172,66487,-44512,167,66487,-143638,316
0.5,53911,2167,96,53911,2905,95,53911,4167,92,53911,4683,91,53911,4802,91,53911,3359,94,53911,2907,95,53911,4838,91,53911,2763,95,53911,6506,88,53911,-62023,215,53911,-75780,241,53911,-36919,168,53911,-37744,170,53911,-114564,313
0.5,79147,2428,97,79147,3624,95,79147,-40,100,79147,1308,98,79147,2572,97,79147,1055,99,79147,5126,94,79147,4219,95,79147,4976,94,79147,2560,97,79147,-125561,259,79147,-128666,263,79147,-56473,171,79147,-63009,180,79147,-198721,351
0.5,79147,4109,95,79147,2146,97,79147,4383,94,79147,1231,98,79147,899,99,79147,4416,94,79147,126,100,79147,3135,96,79147,4075,95,79147,3977,95,79147,-122848,255,79147,-101592,228,79147,-59819,176,79147,-56200,171,79147,-162468,305
0.5,79147,5971,92,79147,8638,89,79147,7597,90,79147,6809,91,79147,2688,97,79147,6183,92,79147,3158,96,79147,4706,94,79147,6777,91,79147,4483,94,79147,-115331,246,79147,-108506,237,79147,-61488,178,79147,-64629,182,79147,-171776,317
0.5,79147,3491,96,79147,4157,95,79147,2093,97,79147,4429,94,79147,4806,94,79147,3218,96,79147,1292,98,79147,2984,96,79147,2782,96,79147,617,99,79147,-112306,242,79147,-119876,251,79147,-70371,189,79147,-66344,184,79147,-176531,323
0.5,75461,5785,92,75461,4264,94,75461,-16663,122,75461,3767,95,75461,2096,97,75461,-381,101,75461,4079,95,75461,10446,86,75461,3056,96,75461,4534,94,75461,-103939,238,75461,-123063,263,75461,-88046,217,75461,-57261,176,75461,-216694,387
0.5,79147,7921,90,79147,3981,95,79147,1353,98,79147,2454,97,79147,5347,93,79147,3324,96,79147,1869,98,79147,3068,96,79147,4539,94,79147,2655,97,79147,-123052,255,79147,-98906,225,79147,-61107,177,79147,-52884,167,79147,-166956,311
0.5,79147,5382,93,79147,2716,97,79147,3255,96,79147,4146,95,79147,2764,97,79147,4318,95,79147,7408,91,79147,-18217,123,79147,3778,95,79147,4020,95,79147,-119458,251,79147,-110144,239,79147,-53392,167,79147,-93218,218,79147,-244538,409
0.5,79147,1510,98,79147,2926,96,79147,3083,96,79147,3179,96,79147,4421,94,79147,763,99,79147,2276,97,79147,4846,94,79147,1420,98,79147,-237,100,79147,-96620,222,79147,-122336,255,79147,-63469,180,79147,-63148,180,79147,-196912,349
0.5,79147,5996,92,79147,3001,96,79147,2876,96,79147,6797,91,79147,3603,95,79147,7156,91,79147,5791,93,79147,6198,92,79147,2843,96,79147,3617,95,79147,-118019,249,79147,-103144,230,79147,-62565,179,79147,-55321,170,79147,-170352,315
0.5,79147,4912,94,79147,3677,95,79147,1398,98,79147,2447,97,79147,6322,92,79147,1667,98,79147,6534,92,79147,5628,93,79147,6848,91,79147,3239,96,79147,-93252,218,79147,-110632,240,79147,-47035,159,79147,-60164,176,79147,-163614,307
0.5,79147,7889,90,79147,3487,96,79147,2836,96,79147,4044,95,79147,4304,95,79147,4082,95,79147,2845,96,79147,732,99,79147,4828,94,79147,5088,94,79147,-128023,262,79147,-107874,236,79147,-52791,167,79147,-64122,181,79147,-186283,335
0.5,74233,11047,85,74233,6414,91,74233,7415,90,74233,4854,93,74233,3541,95,74233,7902,89,74233,4068,95,74233,8860,88,74233,-1116,102,74233,3435,95,74233,-110376,249,74233,-88683,219,74233,-49965,167,74233,-56531,176,74233,-158468,313
0.5,74387,2410,97,74387,5393,93,74387,4086,95,74387,7484,90,74387,4571,94,74387,3305,96,74387,3972,95,74387,9644,87,74387,6192,92,74387,8483,89,74387,-100764,235,74387,-99690,234,74387,-58750,179,74387,-40857,155,74387,-143441,293
0.5,79147,6229,92,79147,7582,90,79147,4521,94,79147,6317,92,79147,-1282,102,79147,3543,96,79147,4670,94,79147,4662,94,79147,7135,91,79147,6671,92,79147,-108898,238,79147,-121185,253,79147,-62042,178,79147,-48352,161,79147,-176082,322
0.5,79147,1451,98,79147,2658,97,79147,4932,94,79147,-1653,102,79147,2741,97,79147,2261,97,79147,-1952,102,79147,4914,94,79147,348,100,79147,1864,98,79147,-108129,237,79147,-110182,239,79147,-66567,184,79147,-65215,182,79147,-200922,354
1.0,79147,2615,97,79147,5748,93,79147,5588,93,79147,5888,93,79147,7018,91,79147,3299,96,79147,2497,97,79147,4630,94,79147,4369,94,79147,7289,91,79147,-98595,225,79147,-115297,246,79147,-54505,169,79147,-55324,170,79147,-181207,329
1.0,79147,3574,95,79147,9540,88,79147,2945,96,79147,5895,93,79147,2934,96,79147,4784,94,79147,3958,95,79147,3140,96,79147,7949,90,79147,4436,94,79147,-91180,215,79147,-95856,221,79147,-50083,163,79147,-60743,177,79147,-194076,345
1.0,79147,4451,94,79147,6244,92,79147,3681,95,79147,6280,92,79147,3893,95,79147,6473,92,79147,6293,92,79147,7523,90,79147,6328,92,79147,2771,96,79147,-100952,228,79147,-112841,243,79147,-51820,165,79147,-65343,183,79147,-176233,323
1.0,79147,3605,95,79147,3550,96,79147,5184,93,79147,3935,95,79147,6590,92,79147,3420,96,79147,5683,93,79147,3605,95,79147,8190,90,79147,6330,92,79147,-103404,231,79147,-106481,235,79147,-57362,172,79147,-36448,146,79147,-162760,306
1.0,79147,2495,97,79147,5500,93,79147,5273,93,79147,3173,96,79147,3306,96,79147,4991,94,79147,3697,95,79147,3990,95,79147,5858,93,79147,3745,95,79147,-117704,249,79147,-117517,248,79147,-63217,180,79147,-67997,186,79147,-189311,339
1.0,68090,2824,96,68090,1812,97,68090,5586,92,68090,3634,95,68090,4225,94,68090,4556,93,68090,3158,95,68090,3962,94,68090,4548,93,68090,3704,95,68090,-106501,256,68090,-106412,256,68090,-55359,181,68090,-46882,169,68090,-164653,342
1.0,79147,3822,95,79147,2153,97,79147,8637,89,79147,3030,96,79147,4365,94,79147,14216,82,79147,2542,97,79147,6457,92,79147,4846,94,79147,5900,93,79147,-113670,244,79147,-105116,233,79147,-49734,163,79147,-41319,152,79147,-173480,319
